#TYPE System.Management.Automation.AliasInfo
"HelpUri","ResolvedCommandName","DisplayName","ReferencedCommand","ResolvedCommand","Definition","Options","Description","OutputType","Name","CommandType","Source","Version","Visibility","ModuleName","Module","RemotingCapability","Parameters","ParameterSets"
"https://go.microsoft.com/fwlink/?LinkID=113300","ForEach-Object","% -> ForEach-Object","ForEach-Object","ForEach-Object","ForEach-Object","ReadOnly, AllScope","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","%","Alias","",,"Public","",,"None","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkID=113423","Where-Object","? -> Where-Object","Where-Object","Where-Object","Where-Object","ReadOnly, AllScope","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","?","Alias","",,"Public","",,"None","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkID=113278","Add-Content","ac -> Add-Content","Add-Content","Add-Content","Add-Content","ReadOnly, AllScope","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","ac","Alias","",,"Public","",,"PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"http://go.microsoft.com/fwlink/?LinkId=245447","Add-AppxPackage","Add-AppPackage","Add-AppxPackage","Add-AppxPackage","Add-AppxPackage","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-AppPackage","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"","Add-AppxVolume","Add-AppPackageVolume","Add-AppxVolume","Add-AppxVolume","Add-AppxVolume","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkId=289347","Add-AppxProvisionedPackage","Add-AppProvisionedPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-AppProvisionedPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkId=289347","Add-AppxProvisionedPackage","Add-ProvisionedAppPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-ProvisionedAppPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkId=289347","Add-AppxProvisionedPackage","Add-ProvisionedAppxPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","Add-AppxProvisionedPackage","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-ProvisionedAppxPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"https://go.microsoft.com/fwlink/?LinkId=717987","Add-LocalGroupMember","algm -> Add-LocalGroupMember","Add-LocalGroupMember","Add-LocalGroupMember","Add-LocalGroupMember","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","algm","Alias","Microsoft.PowerShell.LocalAccounts","1.0.0.0","Public","Microsoft.PowerShell.LocalAccounts","Microsoft.PowerShell.LocalAccounts","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
"","Set-VMQuestion","Answer-VMQuestion","Set-VMQuestion","Set-VMQuestion","Set-VMQuestion","None","","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Answer-VMQuestion","Alias","VMware.VimAutomation.Core","12.3.0.17839688","Public","VMware.VimAutomation.Core","VMware.VimAutomation.Core","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]",
